Nom Prénom;métier;source 
Oswald Durand;politicians;VIAF
Oswald Durand;authors black;VIAF
Oswald Durand;Poète;spla
Paul Laraque;poetes;VIAF
Paul Laraque;Poète;spla
Peter Frisch;Ecrivain/ne;spla
Peter Frisch; Editeur/trice;spla
Pierre Clitandre;Peintre;spla
Pierre Clitandre; Ecrivain/ne;spla
Pierre Clitandre; Journaliste;spla
Rafaël Lucas;Universitaire;spla
Rafaël Lucas; Rédacteur/trice en chef;spla
Rassoul Labuchin;Réalisateur/trice;spla
Rassoul Labuchin; Metteur/se en scène;spla
Rassoul Labuchin; Acteur/trice;spla
Rassoul Labuchin; Dramaturge;spla
Rassoul Labuchin; Poète;spla
Rassoul Labuchin; Professeur;spla
Rassoul Labuchin; Scénariste;spla
Rassoul Labuchin; Militant/e;spla
Rassoul Labuchin; Traducteur/trice;spla
Raymond Chassagne;Ecrivain/ne;spla
René Bélance;Ecrivain/ne;spla
René Depestre;poets;VIAF
René Depestre;authors black;VIAF
René Depestre;Ecrivain/ne;spla
René Depestre; Poète;spla
René Philoctète;poets;VIAF
René Philoctète;novelists;VIAF
René Philoctète;dramatists;VIAF
Rhoddy Attilus;Ecrivain/ne;spla
Richardson Dorvil;Photographe;spla
Richardson Dorvil; Ecrivain/ne;spla
Robert Berrouët Oriol;linguists;VIAF
Robert Berrouët Oriol;authors black;VIAF
Rodianco Fils Azor;Photographe;spla
Rodianco Fils Azor; Poète;spla
Rodianco Fils Azor; Militant/e;spla
Rodney Saint Éloi;editors;VIAF
Rodney Saint Éloi;college teachers;VIAF
Rodney Saint Éloi;authors;VIAF
Roger Dorsinville;Ecrivain/ne;spla
Roland Morisseau;Poète;spla
Roland Paret;college teachers;VIAF
Roland Paret;authors black;VIAF
Saint-John Kauss;Ecrivain/ne;spla
Serge Legagneur;Poète;spla
Soeuf Elbadawi;Metteur/se en scène;spla
Soeuf Elbadawi; Ecrivain/ne;spla
Soeuf Elbadawi; Acteur/trice;spla
Soeuf Elbadawi; Producteur/trice;spla
Soeuf Elbadawi; Journaliste;spla
Sophia Désir;Ecrivain/ne;spla
Sophia Désir; Acteur/trice;spla
Stéphane Martelly;Peintre;spla
Stéphane Martelly; Ecrivain/ne;spla
Stephen Alexis;Ecrivain/ne;spla
Stephen Alexis; Journaliste;spla
Stephen Alexis; Professeur;spla
Suzanne Comhaire-Sylvain;Ecrivain/ne;spla
Syto Cavé;Ecrivain/ne;spla
Syto Cavé; Dramaturge;spla
Théard Marie Alice;women authors black;VIAF
Verly Dabel;Ecrivain/ne;spla
Voegeli Juste-Constant;Ecrivain/ne;spla
Voegeli Juste-Constant; Ethnomusicologue;spla
Wébert CHARLES ;Editeur/trice;spla
Wébert CHARLES ; Opérateur/trice culturel/le;spla
Wébert CHARLES ; Critique littéraire;spla
WInnie Hugot Gabriel Duvil;Journaliste;spla
WInnie Hugot Gabriel Duvil; Chargé/e des relations publiques;spla
WInnie Hugot Gabriel Duvil; Maître / esse de conférence;spla
Yanick François;Ecrivain/ne;spla
Yanick Jean;Peintre;spla
Yanick Jean; Ecrivain/ne;spla
Yanick Jean; Poète;spla
Yanick Lahens;women authors black;VIAF
Yanick Lahens;pisarze haitanscy;VIAF
Yanick Lahens;college teachers;VIAF
Yanick Lahens;business teachers;VIAF
Yanick Lahens;authors;VIAF
Yanick Lahens;Ecrivain/ne;spla
Yanick Lahens; Conférencier/e;spla
