Nom Prenom/auteur bio/source 
Magloire_Saint_Aude/Stéphane Martelly/ile_en_ile
Makenzy_Orcel/Rodney Saint-Éloi/ile_en_ile
Marc_Exavier//ile_en_ile
Marc_Exavier//spla
Marc_Leo_Laroche//spla
Margaret_Papillon/Margaret Papillon/ile_en_ile
Marie_Alice_Theard//ile_en_ile
Marie_Celie_Agnant/Lucie Lequin/ile_en_ile
Marie_Celie_Agnant//spla
Marie_Soeurette_Mathieu//ile_en_ile
Marie_Therese_Colimon_Hall/Paulette Poujol Oriol/ile_en_ile
Marie_Therese_Colimon_Hall//spla
Marie_Vieux_Chauvet/Joëlle Vitiello/ile_en_ile
Mario_Blaise//spla
Marlene_Rigaud_Apollon//ile_en_ile
Marlene_Rigaud_Apollon//spla
Martine Milard_//spla
Massillon_Coicou/Tontongi/ile_en_ile
Massillon_Coicou//spla
Maurice_Casseus/Valérie Kaussen/ile_en_ile
Maurice_Casseus//spla
Maurice_Sixto/Frenand Léger/ile_en_ile
Maximilien_Laroche//spla
Max_Dorsinville/H. Nigel Thomas/ile_en_ile
Max_Dorsinville//spla
Mayotte_Capecia//spla
Michele_Cazanove//spla
Michele_Voltaire_Marcelin//ile_en_ile
Michel_Monnin//ile_en_ile
Michel_Monnin//spla
Mimi_Barthelemy//ile_en_ile
Mimi_Barthelemy//spla
Miriam_Neptune//spla
Mona_Guerin//ile_en_ile
Mona_Guerin//spla
Nadine_Magloire/Joëlle Vitiello/ile_en_ile
Nadine_Magloire//spla
Nassur_Attoumani//spla
Nehemy_Pierre_Dahomey//ile_en_ile
Nirvah_Desinor//spla
Obrillant_Damus//spla
Odette_Roy_Fombrun//ile_en_ile
Oswald_Durand/Maximilien Laroche/ile_en_ile
Oswald_Durand//spla
Paulette_Poujol_Oriol/Joëlle Vitiello/ile_en_ile
Paul_Laraque//ile_en_ile
Paul_Laraque//spla
Peter_Frisch//spla
Philippe_Thoby_Marcelin/Frenand Léger/ile_en_ile
Pierre_Clitandre//ile_en_ile
Pierre_Clitandre//spla
Rafael_Lucas//spla
Rassoul_Labuchin/Mylène Dorcé/ile_en_ile
Rassoul_Labuchin//spla
Raymond_Chassagne//ile_en_ile
Raymond_Chassagne//spla
Rene_Belance//ile_en_ile
Rene_Belance//spla
Rene_Depestre//ile_en_ile
Rene_Depestre//spla
Rene_Philoctete/Rodney Saint-Éloi/ile_en_ile
Rhoddy_Attilus//spla
Richardson_Dorvil//spla
Robert_Berrouet_Oriol/Mylène Dorcé/ile_en_ile
Rodianco_Fils_Azor//spla
Rodney_Saint_Eloi//ile_en_ile
Roger_Dorsinville//ile_en_ile
Roger_Dorsinville//spla
Roland_Morisseau/Josaphat-Robert Large/ile_en_ile
Roland_Morisseau//spla
Roland_Paret//ile_en_ile
Roussan_Camille//ile_en_ile
Saint_John_Kauss/Joelle Constant et Mylène Dorcé/ile_en_ile
Saint_John_Kauss//spla
Serge_Legagneur//ile_en_ile
Serge_Legagneur//spla
Soeuf_Elbadawi//spla
Sophia_Desir//spla
Stanley_Pean//ile_en_ile
Stephane_Martelly//ile_en_ile
Stephane_Martelly//spla
Stephen_Alexis//spla
Suzanne_Comhaire_Sylvain/Kathleen Gyssels/ile_en_ile
Suzanne_Comhaire_Sylvain//spla
Syto_Cave//ile_en_ile
Syto_Cave//spla
Verly_Dabel/Emmelie Prophète/ile_en_ile
Verly_Dabel//spla
Voegeli_Juste_Constant//spla
Webert_Charles//spla
Willems_Edouard//ile_en_ile
Winnie_Hugot_Gabriel_Duvil//spla
Yanick_Francois//spla
Yanick_Jean//ile_en_ile
Yanick_Jean//spla
Yanick_Lahens/Joëlle Vitiello/ile_en_ile
Yanick_Lahens//spla
