etat_civil;wikipage_en;wikipage_fr;wikipage_ht
Noël James;https://en.wikipedia.org/wiki/James_No%C3%ABl_(poet);https://fr.wikipedia.org/wiki/James_No%C3%ABl;https://ht.wikipedia.org/wiki/James_No%C3%ABl
Ollivier Émile;https://en.wikipedia.org/wiki/%C3%89mile_Ollivier;https://fr.wikipedia.org/wiki/%C3%89mile_Ollivier_(homme_politique);#N/A
Orcel Makenzy;#N/A;https://fr.wikipedia.org/wiki/Makenzy_Orcel;https://ht.wikipedia.org/wiki/Makenzy_Orcel
Papillon Margaret;#N/A;#N/A;https://ht.wikipedia.org/wiki/Margaret_Papillon
Papillon Iléus;#N/A;https://fr.wikipedia.org/wiki/Il%C3%A9us_Papillon;https://ht.wikipedia.org/wiki/Il%C3%A9us_Papillon
Paret Roland;#N/A;#N/A;https://ht.wikipedia.org/wiki/Roland_Paret
Pasquet Fabienne;#N/A;#N/A;https://ht.wikipedia.org/wiki/Fabienne_Pasquet
Pasquet Jean-Marc;#N/A;#N/A;https://ht.wikipedia.org/wiki/Jean-Marc_Pasquet
Paul Cauvin;#N/A;#N/A;https://ht.wikipedia.org/wiki/Cauvin_Paul
Péan Stanley;#N/A;https://fr.wikipedia.org/wiki/Stanley_P%C3%A9an;https://ht.wikipedia.org/wiki/Stanley_P%C3%A9an
Phelps Anthony;#N/A;https://fr.wikipedia.org/wiki/Anthony_Phelps;https://ht.wikipedia.org/wiki/Anthony_Phelps
Pierre Claude C.;#N/A;https://fr.wikipedia.org/wiki/Claude_C._Pierre;https://ht.wikipedia.org/wiki/Claude_Pierre
Pierre-Dahomey Néhémy;#N/A;#N/A;#N/A
Poujol Oriol Paulette;https://en.wikipedia.org/wiki/Paulette_Poujol-Oriol;#N/A;https://ht.wikipedia.org/wiki/Paulette_Poujol_Oriol
Prophète Emmelie;https://en.wikipedia.org/wiki/Emmelie_Proph%C3%A8te;https://fr.wikipedia.org/wiki/Emmelie_Proph%C3%A8te;https://ht.wikipedia.org/wiki/Emmelie_Proph%C3%A8te
Régis Guy;#N/A;https://fr.wikipedia.org/wiki/Guy_Junior_R%C3%A9gis;https://ht.wikipedia.org/wiki/Guy_Junior_R%C3%A9gis
Renaud Alix;#N/A;https://fr.wikipedia.org/wiki/Alix_Renaud;https://ht.wikipedia.org/wiki/Alix_Renaud
Rey Charlier Jacques;#N/A;#N/A;#N/A
Rigaud Apollon Marlène;https://en.wikipedia.org/wiki/Marl%C3%A8ne_Rigaud_Apollon;#N/A;https://ht.wikipedia.org/wiki/Marl%C3%A8ne_Rigaud_Apollon
Jacques Roche;https://en.wikipedia.org/wiki/Jacques_Roche;https://fr.wikipedia.org/wiki/Jacques_Roche;https://ht.wikipedia.org/wiki/Jacques_Roche
Roger Gaillard;https://en.wikipedia.org/wiki/Roger_Gaillard_(historian);https://fr.wikipedia.org/wiki/Roger_Gaillard_(historien_ha%C3%AFtien);https://ht.wikipedia.org/wiki/Roger_Gaillard
Saint-Éloi Rodney;https://en.wikipedia.org/wiki/Rodney_Saint-%C3%89loi;https://fr.wikipedia.org/wiki/Rodney_Saint-%C3%89loi;https://ht.wikipedia.org/wiki/Rodney_Saint-%C3%89loi
Saint-Louis Mentor Ulysse ;#N/A;#N/A;#N/A
Sandino  Alexandre Fednel;#N/A;#N/A;#N/A
Scott-Lemoine Jacqueline;#N/A;https://fr.wikipedia.org/wiki/Jacqueline_Scott-Lemoine;https://ht.wikipedia.org/wiki/Jacqueline_Scott-Lemoine
Suprice Lenous Guillaume;#N/A;#N/A;#N/A
Suréna Elsie;https://en.wikipedia.org/wiki/Elsie_Sur%C3%A9na;#N/A;https://ht.wikipedia.org/wiki/Elsie_Surena
Tavernier Janine;#N/A;https://fr.wikipedia.org/wiki/Janine_Tavernier;#N/A
Théard Marie-Alice;https://en.wikipedia.org/wiki/Marie-Alice_Th%C3%A9ard;#N/A;https://ht.wikipedia.org/wiki/Marie-Alice_Th%C3%A9ard
Trouillot Évelyne;https://en.wikipedia.org/wiki/%C3%89velyne_Trouillot;https://fr.wikipedia.org/wiki/%C3%89velyne_Trouillot;https://ht.wikipedia.org/wiki/%C3%89velyne_Trouillot
Trouillot Lyonel;https://en.wikipedia.org/wiki/Lyonel_Trouillot;https://fr.wikipedia.org/wiki/Lyonel_Trouillot;https://ht.wikipedia.org/wiki/Lyonel_Trouillot
Victor Gary;https://en.wikipedia.org/wiki/Gary_Victor;https://fr.wikipedia.org/wiki/Gary_Victor;https://ht.wikipedia.org/wiki/Gary_Victor
Voltaire Marcelin Michèle;#N/A;#N/A;https://ht.wikipedia.org/wiki/Mich%C3%A8le_Voltaire-Marcelin
