;?Nom;Wiki_ID;Nom;normalized;wikipage_fr;wikipage_en;wikipage_ht;wikipage_fr_len;wikipage_ht_len;wikipage_en_len;;;;;;;;;;
64;AntÃ©nor Firmin;Q1584205;Anténor Firmin;Anténor_Firmin;https://fr.wikipedia.org/wiki/Joseph_Ant%C3%A9nor_Firmin;https://en.wikipedia.org/wiki/Ant%C3%A9nor_Firmin;https://ht.wikipedia.org/wiki/Ant%C3%A9nor_Firmin;8332,00;2456,00;12847,00;;;;;;;;;;
65;;;;;;;;;;;;;;;;;;;;
66;Marie-ThÃ©rÃ¨se Colimon-Hall;Q3132299;Marie-Thérèse Colimon-Hall;Marie-Thérèse_Colimon-Hall;https://fr.wikipedia.org/wiki/Marie-Th%C3%A9r%C3%A8se_Colimon_Hall;https://en.wikipedia.org/wiki/Marie-Th%C3%A9r%C3%A8se_Colimon-Hall;https://ht.wikipedia.org/wiki/Marie-Th%C3%A9r%C3%A8se_Colimon-Hall;6194,00;1787,00;2384,00;;;;;;;;;;
67;Mario Blaise;;Mario Blaise;Mario_Blaise;;;;;;;;;;;;;;;;
68;Edris Saint-Amand;Q3048259;Edris Saint-Amand;Edris_Saint-Amand;https://fr.wikipedia.org/wiki/Edris_Saint-Amand;https://en.wikipedia.org/wiki/Edris_Saint-Amand;https://ht.wikipedia.org/wiki/Edris_Saint-Amand;4911,00;831,00;1123,00;;;;;;;;;;
69;Ã‰mile Roumer;Q3045906;Ã‰mile Roumer;Ã‰Mile_Roumer;https://fr.wikipedia.org/wiki/%C3%89mile_Roumer;https://en.wikipedia.org/wiki/%C3%89mile_Roumer;https://ht.wikipedia.org/wiki/%C3%89mile_Roumer;5529,00;1841,00;1671,00;;;;;;;;;;
70;IlÃ©us Papillon;Q55217189;Iléus Papillon;Iléus_Papillon;https://fr.wikipedia.org/wiki/Il%C3%A9us_Papillon;;https://ht.wikipedia.org/wiki/Il%C3%A9us_Papillon;4022,00;3860,00;;;;;;;;;;;
71;Ã‰velyne Trouillot;Q12890535;Ã‰velyne Trouillot;Ã‰Velyne_Trouillot;https://fr.wikipedia.org/wiki/%C3%89velyne_Trouillot;https://en.wikipedia.org/wiki/%C3%89velyne_Trouillot;https://ht.wikipedia.org/wiki/%C3%89velyne_Trouillot;5739,00;2448,00;4853,00;;;;;;;;;;
72;Jean James Estepha;;Jean James Estepha;Jean_James_Estepha;;;;;;;;;;;;;;;;
73;Emmelie ProphÃ¨te;Q3053007;Emmelie Prophète;Emmelie_Prophète;https://fr.wikipedia.org/wiki/Emmelie_Proph%C3%A8te;https://en.wikipedia.org/wiki/Emmelie_Proph%C3%A8te;https://ht.wikipedia.org/wiki/Emmelie_Proph%C3%A8te;4337,00;2597,00;2360,00;;;;;;;;;;
74;Frantz-Antoine Leconte;Q16946241;Frantz-Antoine Leconte;Frantz-Antoine_Leconte;;;https://ht.wikipedia.org/wiki/Frantz_Leconte;;1061,00;;;;;;;;;;;
75;Jessica FiÃ¨vre;Q12891979;Jessica Fièvre;Jessica_Fièvre;;https://en.wikipedia.org/wiki/Jessica_Fi%C3%A8vre;https://ht.wikipedia.org/wiki/Jessica_Fi%C3%A8vre;;1071,00;3194,00;;;;;;;;;;
76;Marie-CÃ©lie Agnant;Q3291756;Marie-Célie Agnant;Marie-Célie_Agnant;https://fr.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;https://en.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;https://ht.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant;5886,00;2142,00;3800,00;;;;;;;;;;
77;Gary Victor;Q3098632;Gary Victor;Gary_Victor;https://fr.wikipedia.org/wiki/Gary_Victor;https://en.wikipedia.org/wiki/Gary_Victor;https://ht.wikipedia.org/wiki/Gary_Victor;8831,00;5718,00;3821,00;;;;;;;;;;
78;Haveson Florvil;Q96952677;Haveson Florvil;Haveson_Florvil;https://fr.wikipedia.org/wiki/Haveson_Florvil;;;10251,00;;;;;;;;;;;;
79;Marcien Constant;;Marcien Constant;Marcien_Constant;;;;;;;;;;;;;;;;
80;Serge H. Moïse;;Serge H. Moïse;Serge_H._Moïse;;;;;;;;;;;;;;;;
81;NÃ©hÃ©my Pierre-Dahomey;Q55217188;Néhémy Pierre-Dahomey;Néhémy_Pierre-Dahomey;;;;;;;;;;;;;;;;
82;Lyonel Trouillot;Q637689;Lyonel Trouillot;Lyonel_Trouillot;https://fr.wikipedia.org/wiki/Lyonel_Trouillot;https://en.wikipedia.org/wiki/Lyonel_Trouillot;https://ht.wikipedia.org/wiki/Lyonel_Trouillot;9968,00;7938,00;6134,00;;;;;;;;;;
83;;;;;;;;;;;;;;;;;;;;
84;Lenous Suprice;Q55217215;Lenous Suprice;Lenous_Suprice;;;;;;;;;;;;;;;;
85;Gerald Bloncourt;Q3123601;Gerald Bloncourt;Gerald_Bloncourt;https://fr.wikipedia.org/wiki/G%C3%A9rald_Bloncourt;https://en.wikipedia.org/wiki/G%C3%A9rald_Bloncourt;https://ht.wikipedia.org/wiki/G%C3%A9rald_Bloncourt;11209,00;1319,00;1932,00;;;;;;;;;;
86;Miriam Neptune;;Miriam Neptune;Miriam_Neptune;;;;;;;;;;;;;;;;
87;Angelucci Manigat, Jr.;Q12887389;Angelucci Manigat, Jr.;Angelucci Manigat_Jr.;;;https://ht.wikipedia.org/wiki/Angelucci_Manigat,_Jr.;;795,00;;;;;;;;;;;
88;Anaïse Chavenet;;Anaïse Chavenet;Anaïse_Chavenet;;;;;;;;;;;;;;;;
89;Guy RÃ©gis;Q2396474;Guy Régis;Guy_Régis;https://fr.wikipedia.org/wiki/Guy_Junior_R%C3%A9gis;;https://ht.wikipedia.org/wiki/Guy_Junior_R%C3%A9gis;15312,00;2706,00;;;;;;;;;;;
90;Roger Dorsinville;Q2990316;Roger Dorsinville;Roger_Dorsinville;https://fr.wikipedia.org/wiki/Roger_Dorsinville;https://en.wikipedia.org/wiki/Roger_Dorsinville;https://ht.wikipedia.org/wiki/Roger_Dorsinville;6541,00;989,00;2683,00;;;;;;;;;;
91;Emeline Michel;Q5370358;Emeline Michel;Emeline_Michel;https://fr.wikipedia.org/wiki/%C3%89meline_Michel;https://en.wikipedia.org/wiki/Emeline_Michel;https://ht.wikipedia.org/wiki/Emeline_Michel;13575,00;3647,00;2034,00;;;;;;;;;;
92;Gary Augustin;Q16946325;Gary Augustin;Gary_Augustin;;;https://ht.wikipedia.org/wiki/Gary_Augustin;;905,00;;;;;;;;;;;
