orig;type_;langue;collectif;
sur reine soleil levée;autour de l'�uvre / de l'auteur;;FAUX;
sur l’oeuvre de christophe charles;autour de l'�uvre / de l'auteur;;FAUX;
contes et récits pour enfants;contes;;FAUX;
poésie en anglais;poesie;anglais;FAUX;
sur edmond laforest *;autour de l'�uvre / de l'auteur;;FAUX;
réalisation et interprétation par anthony phelps, sous les étiquettes les disques coumbite et les productions caliban;theatre;;FAUX;
sur l’oeuvre d’elsie suréna;autour de l'�uvre / de l'auteur;;FAUX;
participation à des congrès et rencontres;lecture publique/conference;;FAUX;
sur l’oeuvre de mona guérin;autour de l'�uvre / de l'auteur;;FAUX;
sur lilas desquiron;autour de l'�uvre / de l'auteur;;FAUX;
articles scientifiques en anglais;essais/articles;anglais;FAUX;
prix et distinctions littéraires;distinctions;;FAUX;
sélection de textes publiés dans des ouvrages collectifs;;;VRAI;
sur magloire-saint-aude (essais);autour de l'�uvre / de l'auteur;;FAUX;
contes pour enfants;contes;;FAUX;jeunesse
réalisations de films;filmographie;;FAUX;
prose religieuse;poesie;;FAUX;
anthologies;autour de l'�uvre / de l'auteur;;FAUX;
retour;;;FAUX;
interventions publiques;interventions publiques;;FAUX;
poésie en tirage limité;beaux-livres;;FAUX;poesie
magloire fils, clément;autour de l'�uvre / de l'auteur;;FAUX;
hommages à jean métellus (1937-2014);autour de l'�uvre / de l'auteur;;FAUX;
poésie en ligne ailleurs;texte en lignes;;FAUX;
textes d’edwidge danticat en ligne;texte en lignes;;FAUX;
articles et récits;essais/articles;;FAUX;
inédits [4];autour de l'�uvre / de l'auteur;;FAUX;
distinctions et prix littéraires;distinctions;;FAUX;
créations théâtrales;theatre;;FAUX;
contes (avec pierre marcelin);contes;;FAUX;
entretiens sélectionnés;entretiens;;FAUX;
josaphat-robert large (1942-2017), hommages;autour de l'�uvre / de l'auteur;;FAUX;
expositions et résidences d’artiste (sous le pseudonyme nou);expositions;;FAUX;
littérature pour la jeunesse;jeunesse;;FAUX;
critique et présentations d’idem;distinctions;;FAUX;
textes publiés dans la presse et dans des ouvrages collectifs;essais/articles;;FAUX;
entrevues, critique;entretiens;;FAUX;
récits véridiques et romans;roman;;FAUX;
sur gary augustin;autour de l'�uvre / de l'auteur;;FAUX;
em português;;portugais;FAUX;
distinction littéraire;distinctions;;FAUX;
conte / jeunesse;contes;;FAUX;jeunesse
d’autres textes dans des ouvrages collectifs;;;VRAI;
direction de recueils;direction ouvrage/revues;;FAUX;
sélection de textes parus dans des ouvrages collectifs;;;VRAI;
ailleurs sur le web – textes de louis-philippe dalembert;texte en lignes;;FAUX;
poésie enregistrée et mise en musique;chanson/musique;;FAUX;
articles sélectionnés;essais/articles;;FAUX;
textes de guy régis mis en musique;chanson/musique;;FAUX;
beau-livre;beaux-livres;;FAUX;
textes de réflexion sélectionnés publiés dans des ouvrages collectifs;autour de l'�uvre / de l'auteur;;FAUX;
essais dans les volumes des œuvres de roger dorsinville en anglais;articles/essais;;FAUX;
comédien;theatre;;FAUX;
poésie en créole;poesie;creole;FAUX;
sélection de textes publiés sur l’oeuvre de saint-john kauss (en ordre chronologique);autour de l'�uvre / de l'auteur;;FAUX;
scénarii;theatre;;FAUX;
in italiano;;italien;FAUX;
sur l’oeuvre de carl brouard;autour de l'�uvre / de l'auteur;;FAUX;
texte paru dans un ouvrage collectif;;;VRAI;
på dansk;;;FAUX;
sur île en île et à cuny;autour de l'�uvre / de l'auteur;;FAUX;
traductions par rené depestre;traductions;;FAUX;
participation à des représentations théâtrales;theatre;;FAUX;
textes de lyonel trouillot enregistrés et mis en musique;chanson/musique;;FAUX;
textes éducatifs;;;FAUX;jeunesse
textes de marlène rigaud apollon en ligne;texte en lignes;;FAUX;
sur l’oeuvre de dantès bellegarde;autour de l'�uvre / de l'auteur;;FAUX;
sur l’oeuvre de syto cavé;autour de l'�uvre / de l'auteur;;FAUX;
textes de jean andré constant;;;FAUX;
poésie dans des recueils et anthologies;autour de l'�uvre / de l'auteur;;FAUX;
poésie dans des ouvrages collectifs;;;VRAI;
lectures publiques de poésie (sélectionnées);lecture publique/conference;;FAUX;
inédits;autour de l'�uvre / de l'auteur;;FAUX;
sur l’oeuvre de lyonel trouillot;autour de l'�uvre / de l'auteur;;FAUX;
manuel scolaire;;;FAUX;jeunesse
volume iii (1976);autour de l'�uvre / de l'auteur;;FAUX;
prix et distinctions sélectionnés;distinctions;;FAUX;
sur l’œuvre de bonel auguste;autour de l'�uvre / de l'auteur;;FAUX;
textes de gary victor;;;FAUX;
préfaces;pr�faces;;FAUX;
sur l’oeuvre de jean-claude charles;autour de l'�uvre / de l'auteur;;FAUX;
nouvelles et récits courts;nouvelles/recits courts;;FAUX;
expositions de sculpture;expositions;;FAUX;
fiction;fiction;;FAUX;
sur l’auteure;autour de l'�uvre / de l'auteur;;FAUX;
sur magloire-saint-aude (articles) [6];autour de l'�uvre / de l'auteur;;FAUX;
dans des ouvrages collectifs;;;VRAI;
essais politiques;articles/essais;;FAUX;politique
sur l’oeuvre de roland paret;autour de l'�uvre / de l'auteur;;FAUX;
sur l’oeuvre de jean-claude fignolé;autour de l'�uvre / de l'auteur;;FAUX;
dictionnaires;dictionnaire;;FAUX;
sur morisseau-leroy;autour de l'�uvre / de l'auteur;;FAUX;
nouvelles et textes publiés dans des ouvrages collectifs;;;VRAI;
scénariste;filmographie;;FAUX;scenarios
textes de stéphane martelly sur île en île;;;FAUX;
performances et créations scéniques;lecture publique/conference;;FAUX;
textes d’anderson dovilas;;;FAUX;
roman;roman;;FAUX;
dessins de georges castera;dessins;;FAUX;
textes de création dans des ouvrages collectifs;;;FAUX;
films et vidéos;filmographie;;FAUX;
en español;espagnol;;FAUX;
sur jacqueline scott-lemoine;autour de l'�uvre / de l'auteur;;FAUX;
participation à d’autres ouvrages;;;VRAI;
recueil de nouvelles;nouvelles;;FAUX;
nouvelles;nouvelles;;FAUX;
sur l’oeuvre de josaphat large;autour de l'�uvre / de l'auteur;;FAUX;
ailleurs sur le web;sur le web;;FAUX;
discographie;discographie;;FAUX;
sur maurice sixto;autour de l'�uvre / de l'auteur;;FAUX;
sur marlène rigaud apollon;autour de l'�uvre / de l'auteur;;FAUX;
interviews;entretiens;;FAUX;
dans des anthologies et des ouvrages de référence;autour de l'�uvre / de l'auteur;;FAUX;
sur michel monnin;autour de l'�uvre / de l'auteur;;FAUX;
prose poétique;poesie;;FAUX;prose
l’oeuvre de saint-john kauss dans des anthologies;autour de l'�uvre / de l'auteur;;FAUX;
en danois;;danois;FAUX;
principales expositions;expositions;;FAUX;
prose narrative;poesie;;FAUX;prose
présentation de nounous dans des anthologies et dictionnaires;autour de l'�uvre / de l'auteur;;FAUX;
traductions par stanley péan;traductions;;FAUX;
en polonais;;polonais;FAUX;
participation à des événements à caractère culturel ou poétique au québec;lecture publique/conference;;FAUX;
sur l’oeuvre de gérard chenet;autour de l'�uvre / de l'auteur;;FAUX;
autobiographie;autobiographie;;FAUX;
histoire;roman historique;;FAUX;
prix et distinctions;distinctions;;FAUX;
sur l’oeuvre de davertige;autour de l'�uvre / de l'auteur;;FAUX;
sur l’oeuvre de jessica fièvre;autour de l'�uvre / de l'auteur;;FAUX;
textes de georges anglade en ligne sur île en île;texte en lignes;;FAUX;
sur l’oeuvre de fred edson lafortune;autour de l'�uvre / de l'auteur;;FAUX;
fables;fables;;FAUX;
haïti littéraire;;;FAUX;
romans pour la jeunesse;roman;;FAUX;jeunesse
sur l’oeuvre d’odette roy fombrun;autour de l'�uvre / de l'auteur;;FAUX;
publications scientifiques et académiques;articles/essais;;FAUX;
films;filmographie;;FAUX;
poésie en espagnol;poesie;espagnol;FAUX;
nouvelles parues dans des ouvrages collectifs;nouvelles;;VRAI;
sur île en île et dans boutures;texte en lignes;;FAUX;
enregistrements sonores, livres avec audio;enregistrements;;FAUX;
sur l’oeuvre de jean brierre;autour de l'�uvre / de l'auteur;;FAUX;
éditions;direction ouvrage/revues;;FAUX;
oeuvre en langue créole (kreyòl);;creole;FAUX;
essais/prose;articles/essais;;FAUX;
morale et philosophie;articles/essais;;FAUX;philosophie
sur l’oeuvre de yanick jean;autour de l'�uvre / de l'auteur;;FAUX;
textes publiés dans des ouvrages collectifs;;;VRAI;
ouvrages posthumes;autour de l'�uvre / de l'auteur;;FAUX;
enregistrements / recordings;enregistrements;;FAUX;
sur l’oeuvre de georges sylvain;autour de l'�uvre / de l'auteur;;FAUX;
sur l’oeuvre d’etzer vilaire;autour de l'�uvre / de l'auteur;;FAUX;
romans en français;romans;fran�ais;FAUX;
sur l’oeuvre de stéphane martelly;autour de l'�uvre / de l'auteur;;FAUX;
sur et avec alix renaud;autour de l'�uvre / de l'auteur;;FAUX;
théâtre en français;theatre;;FAUX;
références;autour de l'�uvre / de l'auteur;;FAUX;
analyses, articles et interventions;articles/essais;;FAUX;
textes et nouvelles dans des ouvrages collectifs;;;VRAI;
sur scène;theatre;;FAUX;
texte dans un ouvrage collectif;;;VRAI;
article sélectionné;articles/essais;;FAUX;
essais publiés dans des ouvrages collectifs;articles/essais;;VRAI;
sur l’oeuvre de pierre clitandre;autour de l'�uvre / de l'auteur;;FAUX;
opéra;op�ra;;FAUX;
album;discographie;;FAUX;
sur l’oeuvre d’émile roumer;autour de l'�uvre / de l'auteur;;FAUX;
contributions diverses;;;VRAI;
poésie enregistrée;enregistrements;;FAUX;
sur l’oeuvre de georges castera;autour de l'�uvre / de l'auteur;;FAUX;
livres (poésie / fiction / livres d’art);livres;;FAUX;
biographies;autour de l'�uvre / de l'auteur;;FAUX;
