Référence;type media;contenu;type auteur;langue;URL;Titre;Auteur;A QUI ?
———. « Poèmes d’Haïti, Adlyne Bonhomme ». Pergola, revue littéraire et culturelle, no 2 (s. d.). https://pergolarevue.wordpress.com/2018/02/16/poemes-dhaiti-dadlyne-bonhomme/.;;;;;https://pergolarevue.wordpress.com/2018/02/16/poemes-dhaiti-dadlyne-bonhomme/.;« Poèmes d’Haïti, Adlyne Bonhomme »;not matched;Célian
Cénas, Peter. « blog de poète », s. d. http://petercenas-com.over-blog.com/.;;;;;http://petercenas-com.over-blog.com/.;« blog de poète »;Cénas, Peter. «;Célian
Cocks, Georges. « cocks georges ecrivain-poète-romancier Guadeloupeen, biographie ». Cocks Georges écrivain-poète-romancier. Consulté le 19 février 2019. http://cocksgeorges.jimdo.com/.;;;;;http://cocksgeorges.jimdo.com/.;« cocks georges ecrivain-poète-romancier Guadeloupeen, biographie »;Cocks, Georges. «;Célian
Collectif. « facebook de la société du samedi soir », s. d. https://www.facebook.com/Soci%C3%A9t%C3%A9-du-Samedi-Soir-834505903316265/.;;;;;https://www.facebook.com/Soci%C3%A9t%C3%A9-du-Samedi-Soir-834505903316265/.;« facebook de la société du samedi soir »;not matched;Célian
D’Amérique, Jean. « blog de poète haïtien ». Blog Médiapart, s. d. https://blogs.mediapart.fr/jean-damerique/blog.;;;;;https://blogs.mediapart.fr/jean-damerique/blog.;« blog de poète haïtien »;D’Amérique, Jean. «;Célian
Delisca, Alain. « Changement de vie ». Nouvelle. Haïti, s. d. https://short-edition.com/fr/oeuvre/nouvelles/changement-de-vie-3.;;;;;https://short-edition.com/fr/oeuvre/nouvelles/changement-de-vie-3.;« Changement de vie »;Delisca, Alain. «;Célian
guyve, Françis John. « guyveco ». Blog, s. d. https://guyvecohaiti.blogspot.com/.;;;;;https://guyvecohaiti.blogspot.com/.;« guyveco »;guyve, Françis John. «;Célian
Jeudi, Inema. « Poésie », s. d. https://www.facebook.com/inema.jeudi.;;;;;https://www.facebook.com/inema.jeudi.;« Poésie »;Jeudi, Inema. «;Anais
Jeudi, Jean Verdin. « Blog », s. d. http://goman.over-blog.com/.;;;;;http://goman.over-blog.com/.;« Blog »;Jeudi, Jean Verdin. «;Anais
———. « poésie facebook ». Poésie, s. d. https://www.facebook.com/La-po%C3%A9sie-de-TOLI-905199502872617/?fref=nf.;;;;;https://www.facebook.com/La-po%C3%A9sie-de-TOLI-905199502872617/?fref=nf.;« poésie facebook »;not matched;Anais
———. « poète haïtien », s. d. http://verdino.unblog.fr/.;;;;;http://verdino.unblog.fr/.;« poète haïtien »;not matched;Anais
Joseph, Ludmilla. « Page Facebook de Ludmilla Joseph ». Page Facebook, s. d. https://www.facebook.com/o.l.joseph?__tn__=%2Cd-]-h-R&eid=ARCa2U_AReiOh0ul-HrpqlL14fCvh754148wIt2Qo_holBipTRHBjflJXBzVmJ4WLHQShnBN2dhHkI_w.;;;;;https://www.facebook.com/o.l.joseph?__tn__=%2Cd-;« Page Facebook de Ludmilla Joseph »;Joseph, Ludmilla. «;Anais
Joubert, Joseph. « blog de poète », s. d. http://joubertjoseph.blogspot.com/.;;;;;http://joubertjoseph.blogspot.com/.;« blog de poète »;Joubert, Joseph. «;Anais
« Liste des auteurs et personnalités littéraires invités au 5è Congrès | Congrès | Congrès international des écrivains de la Caraïbe ». Consulté le 19 février 2019. http://ecrivainsdelacaraibe.com/Congres-2011/invites-2eme-edition.html.;;;;;http://ecrivainsdelacaraibe.com/Congres-2011/invites-2eme-edition.html.;« Liste des auteurs et personnalités littéraires invités au 5è Congrès | Congrès | Congrès international des écrivains de la Caraïbe »;not matched;Anais
